HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.instance_id,Input.event,Input.anchor_location,Input.anchor_timestamp,Input.anchor_url,Input.context8_url,Input.context8_timestamp,Input.context9_url,Input.context9_timestamp,Input.context10_url,Input.context10_timestamp,Input.context11_url,Input.context11_timestamp,Input.context12_url,Input.context12_timestamp,Input.context13_url,Input.context13_timestamp,Answer.Q1,Answer.Q2,Approve,Reject
3W0XM68Y0VJVQWK15QK2R1HPPDT1KI,33YD3YS58ZTUSL24EGICGSHLX37CZQ,Answer questions about the location of tweet author (WARNING: This HIT may contain adult content. Worker discretion is advised.),Read a tweet and determine whether the author was or was not in a city when the tweet was published,"location, spatial, temporal",$0.11,Thu Apr 29 10:13:41 PDT 2021,5,BatchId:4425519;OriginalHitTemplateId:928390828;,600,2592000,Wed Jul 28 10:13:41 PDT 2021,,,33IZTU6J88P4Q0GW7UJC2G8OKIQXSA,A2K3HEVVEWLUS4,Submitted,Thu Apr 29 10:13:44 PDT 2021,Thu Apr 29 10:16:01 PDT 2021,Sat May 29 10:16:01 PDT 2021,,,,137,100% (901/901),100% (901/901),100% (262/262),laborday2019_1168916979748691970,laborday2019,Seattle,Tue Sep 03 16:01:40 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_anchor_1168916979748691970.png,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1167475839631540224.png,Fri Aug 30 16:35:05 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1167823121052815360.png,Sat Aug 31 15:35:03 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1168539387484880897.png,Mon Sep 02 15:01:15 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1169301679059152897.png,Wed Sep 04 17:30:19 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1169649005728546816.png,Thu Sep 05 16:30:28 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1170011405967339520.png,Fri Sep 06 16:30:31 +0000 2019,Yes,4,,
3W0XM68Y0VJVQWK15QK2R1HPPDT1KI,33YD3YS58ZTUSL24EGICGSHLX37CZQ,Answer questions about the location of tweet author (WARNING: This HIT may contain adult content. Worker discretion is advised.),Read a tweet and determine whether the author was or was not in a city when the tweet was published,"location, spatial, temporal",$0.11,Thu Apr 29 10:13:41 PDT 2021,5,BatchId:4425519;OriginalHitTemplateId:928390828;,600,2592000,Wed Jul 28 10:13:41 PDT 2021,,,33PPO7FEC231YG8JBIOM47Z9V2DID2,A13FPMHU0CCJ1O,Submitted,Thu Apr 29 10:14:23 PDT 2021,Thu Apr 29 10:19:32 PDT 2021,Sat May 29 10:19:32 PDT 2021,,,,309,100% (85/85),100% (85/85),100% (54/54),laborday2019_1168916979748691970,laborday2019,Seattle,Tue Sep 03 16:01:40 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_anchor_1168916979748691970.png,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1167475839631540224.png,Fri Aug 30 16:35:05 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1167823121052815360.png,Sat Aug 31 15:35:03 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1168539387484880897.png,Mon Sep 02 15:01:15 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1169301679059152897.png,Wed Sep 04 17:30:19 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1169649005728546816.png,Thu Sep 05 16:30:28 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1170011405967339520.png,Fri Sep 06 16:30:31 +0000 2019,Yes,4,,
3W0XM68Y0VJVQWK15QK2R1HPPDT1KI,33YD3YS58ZTUSL24EGICGSHLX37CZQ,Answer questions about the location of tweet author (WARNING: This HIT may contain adult content. Worker discretion is advised.),Read a tweet and determine whether the author was or was not in a city when the tweet was published,"location, spatial, temporal",$0.11,Thu Apr 29 10:13:41 PDT 2021,5,BatchId:4425519;OriginalHitTemplateId:928390828;,600,2592000,Wed Jul 28 10:13:41 PDT 2021,,,36AHBNMV1Y0NOGNOF0APQVTXLLBDY3,A22FZZT4I6HVCO,Submitted,Thu Apr 29 10:14:28 PDT 2021,Thu Apr 29 10:20:35 PDT 2021,Sat May 29 10:20:35 PDT 2021,,,,367,100% (600/600),100% (600/600),100% (190/190),laborday2019_1168916979748691970,laborday2019,Seattle,Tue Sep 03 16:01:40 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_anchor_1168916979748691970.png,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1167475839631540224.png,Fri Aug 30 16:35:05 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1167823121052815360.png,Sat Aug 31 15:35:03 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1168539387484880897.png,Mon Sep 02 15:01:15 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1169301679059152897.png,Wed Sep 04 17:30:19 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1169649005728546816.png,Thu Sep 05 16:30:28 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1170011405967339520.png,Fri Sep 06 16:30:31 +0000 2019,Yes,5,,
3W0XM68Y0VJVQWK15QK2R1HPPDT1KI,33YD3YS58ZTUSL24EGICGSHLX37CZQ,Answer questions about the location of tweet author (WARNING: This HIT may contain adult content. Worker discretion is advised.),Read a tweet and determine whether the author was or was not in a city when the tweet was published,"location, spatial, temporal",$0.11,Thu Apr 29 10:13:41 PDT 2021,5,BatchId:4425519;OriginalHitTemplateId:928390828;,600,2592000,Wed Jul 28 10:13:41 PDT 2021,,,39OWYR0EPRFKM01K665FEVWIXYQYFY,A1YWT5B2G2Z39V,Submitted,Thu Apr 29 10:14:21 PDT 2021,Thu Apr 29 10:19:16 PDT 2021,Sat May 29 10:19:16 PDT 2021,,,,295,100% (314/314),100% (314/314),100% (244/244),laborday2019_1168916979748691970,laborday2019,Seattle,Tue Sep 03 16:01:40 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_anchor_1168916979748691970.png,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1167475839631540224.png,Fri Aug 30 16:35:05 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1167823121052815360.png,Sat Aug 31 15:35:03 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1168539387484880897.png,Mon Sep 02 15:01:15 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1169301679059152897.png,Wed Sep 04 17:30:19 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1169649005728546816.png,Thu Sep 05 16:30:28 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1170011405967339520.png,Fri Sep 06 16:30:31 +0000 2019,Yes,5,,
3W0XM68Y0VJVQWK15QK2R1HPPDT1KI,33YD3YS58ZTUSL24EGICGSHLX37CZQ,Answer questions about the location of tweet author (WARNING: This HIT may contain adult content. Worker discretion is advised.),Read a tweet and determine whether the author was or was not in a city when the tweet was published,"location, spatial, temporal",$0.11,Thu Apr 29 10:13:41 PDT 2021,5,BatchId:4425519;OriginalHitTemplateId:928390828;,600,2592000,Wed Jul 28 10:13:41 PDT 2021,,,3TMSXRD2XDOP7GCCK6864W78LG7W1W,A38DC3BG1ZCVZ2,Submitted,Thu Apr 29 10:14:15 PDT 2021,Thu Apr 29 10:15:00 PDT 2021,Sat May 29 10:15:00 PDT 2021,,,,45,100% (559/559),100% (443/443),100% (127/127),laborday2019_1168916979748691970,laborday2019,Seattle,Tue Sep 03 16:01:40 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_anchor_1168916979748691970.png,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1167475839631540224.png,Fri Aug 30 16:35:05 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1167823121052815360.png,Sat Aug 31 15:35:03 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1168539387484880897.png,Mon Sep 02 15:01:15 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1169301679059152897.png,Wed Sep 04 17:30:19 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1169649005728546816.png,Thu Sep 05 16:30:28 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/laborday2019_1168916979748691970_1170011405967339520.png,Fri Sep 06 16:30:31 +0000 2019,Yes,4,,
30IRMPJWE57JJ1JI3KZHXSZ2TBMRK3,33YD3YS58ZTUSL24EGICGSHLX37CZQ,Answer questions about the location of tweet author (WARNING: This HIT may contain adult content. Worker discretion is advised.),Read a tweet and determine whether the author was or was not in a city when the tweet was published,"location, spatial, temporal",$0.11,Thu Apr 29 10:13:41 PDT 2021,5,BatchId:4425519;OriginalHitTemplateId:928390828;,600,2592000,Wed Jul 28 10:13:41 PDT 2021,,,339ANSOTRCQ9CMET3ZA98KUZFBAIKF,A2G94HZV0UJEKU,Submitted,Thu Apr 29 10:14:54 PDT 2021,Thu Apr 29 10:19:27 PDT 2021,Sat May 29 10:19:27 PDT 2021,,,,273,100% (380/380),100% (380/380),100% (142/142),memorialday2019_1137551943851810816,memorialday2019,New York,Sun Jun 09 02:48:12 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_anchor_1137551943851810816.png,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137415299890843648.png,Sat Jun 08 17:45:14 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137460861185007616.png,Sat Jun 08 20:46:16 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137506364383797248.png,Sat Jun 08 23:47:05 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137956995120672769.png,Mon Jun 10 05:37:44 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1138002685481893888.png,Mon Jun 10 08:39:17 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1138048440984887297.png,Mon Jun 10 11:41:06 +0000 2019,No,3,,
30IRMPJWE57JJ1JI3KZHXSZ2TBMRK3,33YD3YS58ZTUSL24EGICGSHLX37CZQ,Answer questions about the location of tweet author (WARNING: This HIT may contain adult content. Worker discretion is advised.),Read a tweet and determine whether the author was or was not in a city when the tweet was published,"location, spatial, temporal",$0.11,Thu Apr 29 10:13:41 PDT 2021,5,BatchId:4425519;OriginalHitTemplateId:928390828;,600,2592000,Wed Jul 28 10:13:41 PDT 2021,,,33TIN5LC0BYBLQA73K5N4ZA7U0VY96,A1TEXCUTI4IUUN,Submitted,Thu Apr 29 10:14:17 PDT 2021,Thu Apr 29 10:17:09 PDT 2021,Sat May 29 10:17:09 PDT 2021,,,,172,100% (29/29),100% (29/29),100% (17/17),memorialday2019_1137551943851810816,memorialday2019,New York,Sun Jun 09 02:48:12 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_anchor_1137551943851810816.png,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137415299890843648.png,Sat Jun 08 17:45:14 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137460861185007616.png,Sat Jun 08 20:46:16 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137506364383797248.png,Sat Jun 08 23:47:05 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137956995120672769.png,Mon Jun 10 05:37:44 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1138002685481893888.png,Mon Jun 10 08:39:17 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1138048440984887297.png,Mon Jun 10 11:41:06 +0000 2019,No,4,,
30IRMPJWE57JJ1JI3KZHXSZ2TBMRK3,33YD3YS58ZTUSL24EGICGSHLX37CZQ,Answer questions about the location of tweet author (WARNING: This HIT may contain adult content. Worker discretion is advised.),Read a tweet and determine whether the author was or was not in a city when the tweet was published,"location, spatial, temporal",$0.11,Thu Apr 29 10:13:41 PDT 2021,5,BatchId:4425519;OriginalHitTemplateId:928390828;,600,2592000,Wed Jul 28 10:13:41 PDT 2021,,,35GCEFQ6ICCPBEVWIX6WRTGN02Q3ZM,A1YWT5B2G2Z39V,Submitted,Thu Apr 29 10:14:28 PDT 2021,Thu Apr 29 10:21:34 PDT 2021,Sat May 29 10:21:34 PDT 2021,,,,426,100% (314/314),100% (314/314),100% (244/244),memorialday2019_1137551943851810816,memorialday2019,New York,Sun Jun 09 02:48:12 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_anchor_1137551943851810816.png,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137415299890843648.png,Sat Jun 08 17:45:14 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137460861185007616.png,Sat Jun 08 20:46:16 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137506364383797248.png,Sat Jun 08 23:47:05 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137956995120672769.png,Mon Jun 10 05:37:44 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1138002685481893888.png,Mon Jun 10 08:39:17 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1138048440984887297.png,Mon Jun 10 11:41:06 +0000 2019,Yes,5,,
30IRMPJWE57JJ1JI3KZHXSZ2TBMRK3,33YD3YS58ZTUSL24EGICGSHLX37CZQ,Answer questions about the location of tweet author (WARNING: This HIT may contain adult content. Worker discretion is advised.),Read a tweet and determine whether the author was or was not in a city when the tweet was published,"location, spatial, temporal",$0.11,Thu Apr 29 10:13:41 PDT 2021,5,BatchId:4425519;OriginalHitTemplateId:928390828;,600,2592000,Wed Jul 28 10:13:41 PDT 2021,,,39LNWE0K41KNFIJ5XDEBE73XH28IUC,A1VI3GSO82Y9N7,Submitted,Thu Apr 29 10:15:05 PDT 2021,Thu Apr 29 10:15:29 PDT 2021,Sat May 29 10:15:29 PDT 2021,,,,24,100% (190/190),100% (190/190),100% (116/116),memorialday2019_1137551943851810816,memorialday2019,New York,Sun Jun 09 02:48:12 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_anchor_1137551943851810816.png,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137415299890843648.png,Sat Jun 08 17:45:14 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137460861185007616.png,Sat Jun 08 20:46:16 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137506364383797248.png,Sat Jun 08 23:47:05 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137956995120672769.png,Mon Jun 10 05:37:44 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1138002685481893888.png,Mon Jun 10 08:39:17 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1138048440984887297.png,Mon Jun 10 11:41:06 +0000 2019,Yes,5,,
30IRMPJWE57JJ1JI3KZHXSZ2TBMRK3,33YD3YS58ZTUSL24EGICGSHLX37CZQ,Answer questions about the location of tweet author (WARNING: This HIT may contain adult content. Worker discretion is advised.),Read a tweet and determine whether the author was or was not in a city when the tweet was published,"location, spatial, temporal",$0.11,Thu Apr 29 10:13:41 PDT 2021,5,BatchId:4425519;OriginalHitTemplateId:928390828;,600,2592000,Wed Jul 28 10:13:41 PDT 2021,,,3Z4XG4ZF4FFM7G1NTWD7LP8N8OK8XM,A13WYXTOERACDD,Submitted,Thu Apr 29 10:14:18 PDT 2021,Thu Apr 29 10:17:58 PDT 2021,Sat May 29 10:17:58 PDT 2021,,,,220,100% (971/971),100% (971/971),100% (242/242),memorialday2019_1137551943851810816,memorialday2019,New York,Sun Jun 09 02:48:12 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_anchor_1137551943851810816.png,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137415299890843648.png,Sat Jun 08 17:45:14 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137460861185007616.png,Sat Jun 08 20:46:16 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137506364383797248.png,Sat Jun 08 23:47:05 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1137956995120672769.png,Mon Jun 10 05:37:44 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1138002685481893888.png,Mon Jun 10 08:39:17 +0000 2019,https://zhaomin.s3.us-east-2.amazonaws.com/screenshot/memorialday2019_1137551943851810816_1138048440984887297.png,Mon Jun 10 11:41:06 +0000 2019,Yes,5,,
